route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811336-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811337-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811338-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811339-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811340-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811341-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811342-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811343-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811344-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811345-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811346-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811347-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811348-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811349-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124315,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811350-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811351-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811352-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811353-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811354-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811355-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811356-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124316,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811357-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124315,C210836,1
